reviewID,overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,label
1,5,TRUE,"10 17, 2015",A1HP7NVNPFMA4N,700026657,Ambrosia075,"This game is a bit hard to get the hang of, but when you do it's great.",but when you do it's great.,1445040000,0
2,5,FALSE,"03 30, 2005",A1REUF3A1YCPHM,1713353,TW Ervin II,"The King, the Mice and the Cheese by Nancy Gurney is an excellent children's book. It is one that I well remember from my own childhood and purchased for my daughter who loves it. It is about a king who has trouble with rude mice eating his cheese. He consults his wise men and they suggest cats to chase away the mice. The cats become a nuisance, so the wise men recommend the king bring in dogs to chase the cats away. The cycle goes on until the mice are finally brought back to chase away the elephants, brought in to chase away the lions that'd chased away the dogs. The story ends in compromise and friendship between the mice and the king. The story also teaches cause and effect relationships. The pictures that accompany the story are humorous and memorable. I was thrilled to discover that it is back in print. I *highly* recommend it for children ages 2 to 7.",A story children will love and learn from,1112140800,0
8,5,TRUE,"01 22, 2014",A3MCTN65BU7XRA,681795107,luckyg,So much better than plastic mug types--keeps coffee warm and doesn't stain. We bought it because Cook's Country rated it tops.,Recommend,1390348800,0
12,5,TRUE,"12 25, 2014",A2RF5B5H74JLPE,700026657,jon,"great game, I love it and have played it since its arrived",love this game,1419465600,0
15,4,TRUE,"11 13, 2014",A11V6ZJ2FVQY1D,700026657,IBRAHIM ALBADI,i liked a lot some time that i haven't play a wonderfull game very simply and funny game verry good game.,Anno 2070,1415836800,0
20,4,TRUE,"03 20, 2013",A3RMC04VRINS4W,681795107,cindy francis,"Have not used it often enough, but does what it is supposed to do, ie, keeps drinks hot AND does NOT leak. I am looking forward to giving these as gifts next Christmas",Dependable,1363737600,0
21,5,TRUE,"04 06, 2012",AO84V2TFRX9OB,681795107,Meddybempster,"These mugs do what they are designed to do, i.e., keep liquids hot or cold for hours, don't leak, easy to clean and attractive to look at. But, do not put them in the dishwasher as they lose their magic!",Keeps your drinks hot or cold for hours,1333670400,0
22,5,TRUE,"02 21, 2014",AV969NA4CBP10,700026657,Travis B. Moore,I have played the old anno 1701 AND 1503. this game looks great but is more complex than the previous versions of the game. I found a lot of things lacking such as the sources of power and an inability to store energy with batteries or regenertive fuel cells as buildings in the game need power. Trade is about the same. My main beef with this it requires an internet connection. Other than that it has wonderful artistry and graphics. It is the same as anno 1701 but set in a future world where global warmming as flood the land and resource scarcity has sent human kind to look to the deep ocean for valuable minerals. I recoment the deep ocean expansion or complete if you get this. I found the ai instructor a little corny but other than that the game has some real polish. I wrote my 2 cents worth on suggestions on anno 2070 wiki and you can read 3 pages on that for game ideas I had.,Anno 2070 more like anno 1701,1392940800,0
26,4,TRUE,"11 12, 2011",A22JPQM47XD7Q8,681795107,Gashauler,"Overall it is a nice mug. it is easy to use and comfortable to hold. I wish it had better insulation. If you are looking for your coffee to stay hot for a long time, this mug is NOT for you. If you want a nice mug for short trips, this mug is perfect.",Nice mug,1321056000,0
30,1,FALSE,"05 15, 2012",A1LMJ9W8UX1H5B,700026657,Rob NY,"I've bought and played ALL of the ANNO games since 1602, and spent more hours than I can even count building massive empires with extremely complex trade routes. I was thrilled to see another installment released, but I absolutely will NOT pay for something that limits my hardware changes and installs. Wake up UBI, look at all of your other software title reviews, both here on Amazon and on gaming sites. People are not as stupid as you think, and will simply find a different game to fill their time with and throw their money at if their freedoms are inhibited by your software. By adding DRM you've actually promoted the use of piracy instead of reduced it, because those that really do want to play it will find a way.",SAY NO TO DRM!!,1337040000,1
35,5,TRUE,"08 11, 2015",AQ9UQK6HEQVJH,768205921,Sweet Lorraine,"This is a nice little clock, and the hands line up very well, so is perfect for teaching children to read time. Recommended",This is a nice little clock,1439251200,0
38,5,FALSE,"06 18, 2011",A15PIAQT55GNCA,700099867,Suk W. Yu,lot of people don't like RALLY because they already tried gran turismo game. to tell you the truth gran turismo RALLY physic is just boring boring boring. gran turismo only good for racing simulation but RALLY part is suck!!!! dirt 2 amazed me how much fun it was and now dirt 3 with 3 time more race tracks than dirt 2. MUST BUY!!!!!!!!!!,this games is amazing!!!!!!!!,1308355200,0
39,5,FALSE,"12 5, 2005",A1RR8Q97PANN98,1713353,SDSonn,Finally back in print. What an awesome book. Loved it as a kid and now one of my kids' favorites. So happy I can now purchase for my niece.,FINALLY!!!!,1133740800,1
40,5,TRUE,"01 03, 2014",A1KU2VHK8BECRW,768205921,Judith A. Pilgrim,The Judy clock is a marvelous teaching aid for children learning to tell time. This is a perfect size to have at home for practice.,Great clock for little hands.,1388707200,0
41,4,TRUE,"06 14, 2011",A361M14PU2GUEG,700099867,Angry Ryan,I had Dirt 2 on Xbox 360 and it was an okay game. I started playing games on my laptop and bought a few new games to build my collection. This game is very fun to play. It is so much better than Dirt 2. If you like racing games you should check this out. The graphics are perfect on my compter.,DIRT 3,1308009600,1
44,5,FALSE,"06 13, 2011",A2LQCBLLJVVR5T,700099867,Timmiley,"This is a must have for any gamer. Codemasters really hit a home run on this one. I would like to see F1 2011 be this good using the ego engine 2.0 and the physics model in this game is right on the money. This game is the reason everyone should buy the best graphics card they can afford. I am using a nvidia 460 overclocked, and I have on order a 590. I want to run this game with everything on highest level. I swear to you that even with the 460 + , the graphics are very realistic and I really enjoy racing at ground level. This game makes Codemasters the king of graphics realism. BUY THIS GAME !!!!! December 6, 2011 I saw my review of the Internet and wanted to update it for you. First of all anyone with this program, BUY the extra environments and cars. It is money well spent and a first class job of an addon. I wanted everyone to know that this program is still the top of the heap in graphics. I bought Battlefield 3 and it is good, but not the standard of the ego 2 engine. Codemasters are the king of graphics so far and I find that the more realism a game has, the more adicted you will become. No other program running with all variables to the max, looks like Dirt 3. Thank God for codemasters and I can hardly wait for GRID 2 in the summer.",BEST GRAPHICS OF ANY GAME SO FAR !!!!,1307923200,1
45,5,FALSE,"11 23, 2009",A1IG9N5URR82EB,1061240,avid reader,"I was given this book for my 8th birthday, in the year of its first publication. The Golden Treasury of Poetry was a constant companion; lost, alas, after ""growing up"" and making many life-moves. This year, 2009, 50 years after I first received this book, I recaptured it from a used book dealer in upstate NY, as a birthday present to myself for my 58th birthday. The book is my bridge back in time. A beloved collection of classics for children; don't let yours slip away!",Childhood Recaptured,1258934400,0
47,1,TRUE,"05 18, 2013",A1NQ759X8WPIVV,700026398,Lynn,"I'm sure I would love the game, if I could play it, I have loved all the Hitman games thus far. The one star is due to steam. Steam is absolutely beyond annoying and they do NOT help you if you ask them. I found out after I purchased it that windows xp does not support direct X-10. I do have a high end video card but it doesn't make a difference. I recommend that no one purchase any games or other items that require steam. Perhaps then they will fix all the problems or go out of business (my favorite option). I am very good with computers (built mine) so that is not the problem. As always it's a steam issue.",Requires steam,1368835200,0
48,5,TRUE,"10 6, 2016",A2CVLIZ9ELU88,1061240,A.M.H.,I had this book as a child and loved it. The collection of poems is a broad and deep as I remembered,A wonderful poetry collection with superior commentary bu Untermeyer,1475712000,0
52,4,TRUE,"05 11, 2013",A29EEOB4R7K24L,805469613,L. A. Freeman,"nice for small churchs like ours. I appreciate being able to get 500 small count rather than the large 1000 count, for these will last us a long time, they serve their purpose well.",ok for small fellowships,1368230400,0
57,5,TRUE,"07 27, 2015",A364VBQMMXKX1Q,1061240,Philip and Melissa Knight-Fitzgerald,This was a wonderful book so I got it as a gift for my niece. It's a very thick book full of different poems on many topics. You will be able to find many that you love.,Gift to Niece,1437955200,0
66,4,TRUE,"07 24, 2014",A3PF93B41F9IDL,1061240,Bev Weber,Its lovely just what my husband was looking for and how he had remembered it,Four Stars,1406160000,0
67,1,TRUE,"11 8, 2015",A2TE1L8853WO83,1574893122,KSM,"Terrible. Murky printing and arrived rumpled, wrinkled and creased, had to return it. Very disappointed because I based my purchase on good reviews. Not even worth one star.",Terrible. Murky printing and arrived rumpled,1446940800,0
69,5,TRUE,"05 31, 2014",AOSS6RJIPV8WS,1061240,J. Voorheis,"I don't know that I can truly explain why I like this book so much. Started reading it to my son and daughter in approx 1960. They loved it and so did I like reading it to them. The Book contains a wonderful collection of poetry of many topics and styles, appealing to from toddlers to adults! I think it is a great family book. Had two more children when the first two were in Middle School. They liked it just as much and now I have given it to their children! Our youngest grandchild wouldn't let her father stop reading it to her in the evening and then demanded permission to take the book to bed. She is only 22 months old. Somewhere along the line in moving around the book was lost. I just bought it for my husband and me. Love it. Thank you Louis Untermeyer for this collection!",The Perfect Children's Book,1401494400,1
72,5,FALSE,"02 24, 2014",A1PZIHJAT8TG3W,1061240,seagypsy,"The poetry and illustrations are splendid. Although the book seems directed at children, adults will be inspired as well. It is one of those books that would stay in the family for generations. ""Golden Treasury"" is the right name for it! My dad gave me this book when I was about eight.-- this was in the seventies. It inspired me to write poetry and I won a poetry contest in school because of it. Somehow the collection reminds me of a better time, when people valued good things and were more sweet and innocent.",Childhood memories,1393200000,0
81,5,TRUE,"11 21, 2015",A2A9YHBVH0MX9N,1579280633,Amazon Customer,It was a gift but my daughter loved it for her antivity set.,Five Stars,1448064000,0
83,5,TRUE,"08 27, 2013",A2C81B811FA56V,1061240,Helen D. Setterfield,"One of my daughters, growing up, also loved this book, which I had had when I was a teenager. Because she was a bit careless, the cover was destroyed. It is so great to have a good copy again of this lovely collection which I can now read to my grandchildren. The Anglund illustrations are, of course, delightful, and many of the selections simply cannot be found anymore, of either the poems or the illustrations. A priceless book.",great to have a replacement for a favorite book,1377561600,1
84,5,TRUE,"09 21, 2015",A3ND72IK6GFWKD,1579280633,miasampietro,"This angel is absolutely gorgeous! I purchased it to go with my nativity set but unfortunately it was too small so unfortunately I'll be returning it. However, the colors and painting are absolutely lovely and the material is extremely durable. I still give it 5 stars!!",This angel is absolutely gorgeous! I purchased it to ...,1442793600,0
85,1,TRUE,"07 15, 2013",A14L115LBOB0A5,700099867,MotoRider42HC,"This game was a rip-off. It has less terrain, less tracks, and less features than DiRT 2. The graphics are about the same. Not worth the money, at all.",Not as good as DiRT 2,1373846400,0
92,5,TRUE,"01 13, 2017",AT8F6VM9CINXO,1579280633,Light Guy,The FONTANINI 5' KNEELING ANGEL is a great addition to my Nativity Scene. Very unusual but inspiring attitude for a Nativity Angel. It is made of a hard rubber so it's very strong and not fragile or easily broken. The colors are pretty and would go with any Nativity Creche. Lovely face. (JMJ),The FONTANINI 5' KNEELING ANGEL is a great addition to my Nativity Scene,1484265600,0
101,5,TRUE,"03 03, 2016",A28O0BGR4ALDRX,1579280633,anita,Got this for a gift and they loved it.,Xmas Nativity,1456963200,0
103,5,TRUE,"08 10, 2013",AG5WO5CYX6C2R,1932349,susan clare knight,"I love this little book which is wonderful to give as a gift to both adults and children. I already have my own copy but I wanted another to give one as a gift because it expresses in just a few, simple, touching words the way in which we would all like to be cherished,but probably never have been. It always makes me cry. I call it the agnostic's bible! Clare.",I already have a copy of this book,1376092800,0
104,4,TRUE,"08 09, 2013",ACQGF9PXBB35M,1581174292,Ed Mirabal,"Its a nice variation on the kids book and the little cookies disapear as you turn the pages.....its a kids book, come on, how mean of a review are you going to write about this. Its for kids.",Kids book,1376006400,0
118,5,TRUE,"09 27, 2016",A1UFGV0WEC7VW0,1712799,LiveOutLoud,"""U"" is for UP! Great book",Great,1474934400,0
119,5,FALSE,"10 30, 2014",A2B5JTPA7ZPBWP,1605160113,Lady,I hand these wonderful Prince of Peace cards out as gifts to friends to carry in their wallets. EVERYONE LOVES OUR YESHUA,Five Stars,1414627200,0
